id, stimulus, target, key_response, response_time
0 ,-2 ,-2 ,0 ,0 
1 ,4 ,1 ,0 ,0 
2 ,3 ,1 ,0 ,0 
3 ,5 ,1 ,0 ,0 
4 ,2 ,1 ,0 ,0 
5 ,1 ,1 ,1 ,0.359 
6 ,2 ,1 ,0 ,0 
7 ,3 ,1 ,0 ,0 
8 ,5 ,1 ,0 ,0 
9 ,1 ,1 ,1 ,0.437 
10 ,4 ,1 ,0 ,0 
11 ,2 ,1 ,0 ,0 
12 ,1 ,1 ,0 ,0 
13 ,3 ,1 ,1 ,0.063 
14 ,4 ,1 ,0 ,0 
15 ,5 ,1 ,0 ,0 
16 ,-1 ,1 ,0 ,0 
17 ,4 ,2 ,0 ,0 
18 ,5 ,2 ,0 ,0 
19 ,3 ,2 ,0 ,0 
20 ,2 ,2 ,1 ,0.328 
21 ,1 ,2 ,0 ,0 
22 ,5 ,2 ,0 ,0 
23 ,1 ,2 ,0 ,0 
24 ,2 ,2 ,1 ,0.531 
25 ,3 ,2 ,0 ,0 
26 ,4 ,2 ,0 ,0 
27 ,5 ,2 ,0 ,0 
28 ,3 ,2 ,0 ,0 
29 ,4 ,2 ,0 ,0 
30 ,1 ,2 ,0 ,0 
31 ,2 ,2 ,1 ,0.343 
32 ,-1 ,2 ,0 ,0 
33 ,3 ,3 ,0 ,0 
34 ,4 ,3 ,0 ,0 
35 ,1 ,3 ,0 ,0 
36 ,5 ,3 ,0 ,0 
37 ,2 ,3 ,0 ,0 
38 ,5 ,3 ,0 ,0 
39 ,2 ,3 ,0 ,0 
40 ,4 ,3 ,0 ,0 
41 ,1 ,3 ,0 ,0 
42 ,3 ,3 ,1 ,0.343 
43 ,2 ,3 ,0 ,0 
44 ,4 ,3 ,0 ,0 
45 ,3 ,3 ,1 ,0.468 
46 ,5 ,3 ,0 ,0 
47 ,1 ,3 ,0 ,0 
48 ,-1 ,3 ,0 ,0 
49 ,2 ,4 ,0 ,0 
50 ,4 ,4 ,0 ,0 
51 ,1 ,4 ,0 ,0 
52 ,5 ,4 ,0 ,0 
53 ,3 ,4 ,1 ,0.375 
54 ,4 ,4 ,0 ,0 
55 ,1 ,4 ,0 ,0 
56 ,5 ,4 ,0 ,0 
57 ,2 ,4 ,0 ,0 
58 ,3 ,4 ,0 ,0 
59 ,4 ,4 ,1 ,0.328 
60 ,5 ,4 ,0 ,0 
61 ,3 ,4 ,0 ,0 
62 ,1 ,4 ,0 ,0 
63 ,2 ,4 ,0 ,0 
64 ,-1 ,4 ,0 ,0 
65 ,5 ,5 ,0 ,0 
66 ,4 ,5 ,1 ,0.11 
67 ,3 ,5 ,0 ,0 
68 ,1 ,5 ,0 ,0 
69 ,2 ,5 ,0 ,0 
70 ,3 ,5 ,0 ,0 
71 ,5 ,5 ,1 ,0.39 
72 ,2 ,5 ,0 ,0 
73 ,1 ,5 ,0 ,0 
74 ,4 ,5 ,0 ,0 
75 ,2 ,5 ,0 ,0 
76 ,1 ,5 ,0 ,0 
77 ,5 ,5 ,1 ,0.344 
78 ,4 ,5 ,0 ,0 
79 ,3 ,5 ,0 ,0 
80 ,-1 ,5 ,0 ,0 
